taxonID	scientificName	parentNameUsageID	taxonRank
T100727	Chilomycterus spinosus	T100399	species
T100728	Promethichthys prometheus	T100729	species
T100730	Chauliodus sloani	T100731	species
T100732	Antennarius pardalis	T100231	species
T100733	Hoplostethus mediterraneus	T100734	species
T100735	Bathyuroconger vicinus	T100736	species
T100738	Chromis cadenati	T100344	species
T100739	Beryx splendens	T100740	species
T100742	Bathygadus melanobranchus	T100192	species
T100743	Pegusa cadenati	T100143	species
T100744	Pythonichthys microphthalmus	T100745	species
T100747	Echeneis naucrates	T100748	species
T100750	Neogloboquadrina acostaensis	T100699	species
T100751	Isistius brasiliensis	T100752	species
T100753	Centrophorus lusitanicus	T100456	species
T100754	Hoplostethus atlanticus	T100734	species
T100755	Bothus lunatus	T100187	species
T100756	Arnoglossus capensis	T100135	species
T100757	Triplophos hemingi	T100758	species
T100760	Ginglymostoma cirratum	T100761	species
T100764	Nettastoma melanurum	T100765	species
T100767	Holocentrus adscensionis	T100768	species
T100769	Bembrops caudimacula	T100066	species
T100770	Microchirus ocellatus	T100060	species
T100771	Coelorinchus fasciatus	T100498	species
T100772	Centrophorus squamosus	T100456	species
T100773	Atractoscion aequidens	T100774	species
T100775	Sphyrna couardi	T100776	species
T100778	Cottunculus thomsonii	T100779	species
T100781	Histrio histrio	T100782	species
T100783	Carcharhinus brevipinna	T100426	species
T100784	Sphyrna lewini	T100776	species
T100785	Lestidiops sphyrenoides	T100786	species
T100788	Centroscymnus crepidater	T100789	species
T100791	Xenodermichthys copei	T100792	species
T100795	Alopias superciliosus	T100796	species
T100798	Centrarchops chapini	T100799	species
T100801	Cepola macrophthalma	T100584	species
T100802	Carcharhinus longimanus	T100426	species
T100803	Sphaeroidinellopsis kochi	T100717	species
T100804	Sparisoma rubripinne	T100528	species
T100805	Squatina africana	T100237	species
T100806	Rhinobatos percellens	T100176	species
T100807	Umbrina cirrosa	T100117	species
T100808	Nicholsina usta	T100809	species
T100810	Merluccius capensis	T100531	species
T100811	Pristis perotteti	T100541	species
